SQLファイル名(.sqlを除く),x,y,対象期間項目名,規格適用開始期間(含む),規格適用終了期間(含む),品名(指定しない場合は'-'),規格Min,アラームMin,アラームMax,規格Max,hue(色分けを行わない場合は-),グラフタイトル,グラフタイトル,Y軸のLog表記を行うのであれば、TRUE,CHECK
Dry3_CHF3-10sccm_All_Data,STARTTIME,O2Flow.O2Flow,STARTTIME,1/1/2019,1/1/2100,-,0.3,0.35,0.45,0.5,-,O2Flow,Dry3_CHF3-10sccm O2Flow,,
Dry3_CHF3-10sccm_All_Data,STARTTIME,RFPower.RFPower,STARTTIME,1/1/2019,1/1/2100,-,97,98,100,101,-,RFPower,Dry3_CHF3-10sccm RFPower,,
Dry3_CHF3-10sccm_All_Data,STARTTIME,Pressure.Pressure,STARTTIME,1/1/2019,1/1/2100,-,5.4,5.7,6.5,6.8,-,Pressure,Dry3_CHF3-10sccm Pressure,,
Dry3_CHF3-10sccm_All_Data,STARTTIME,InitialVpp.InitialVpp,STARTTIME,1/1/2019,1/1/2100,-,800,900,1300,1400,-,InitialVpp,Dry3_CHF3-10sccm InitialVpp,,
Dry3_CHF3-10sccm_All_Data,STARTTIME,FinalVpp.FinalVpp,STARTTIME,1/1/2019,1/1/2100,-,800,900,1300,1400,-,FinalVpp,Dry3_CHF3-10sccm FinalVpp,,
Dry3_CHF3-7sccm_All_Data,STARTTIME,CHF3Flow.CHF3Flow,STARTTIME,1/1/2019,1/1/2100,-,6.5,6.7,7.1,7.3,-,CHF3Flow,Dry3_CHF3-7sccm CHF3Flow,,
Dry3_CHF3-7sccm_All_Data,STARTTIME,O2Flow.O2Flow,STARTTIME,1/1/2019,1/1/2100,-,0.3,0.35,0.45,0.5,-,O2Flow,Dry3_CHF3-7sccm O2Flow,,
Dry3_CHF3-7sccm_All_Data,STARTTIME,RFPower.RFPower,STARTTIME,1/1/2019,1/1/2100,-,97,98,100,101,-,RFPower,Dry3_CHF3-7sccm RFPower,,
Dry3_CHF3-7sccm_All_Data,STARTTIME,Pressure.Pressure,STARTTIME,1/1/2019,1/1/2100,-,5.4,5.7,6.5,6.8,-,Pressure,Dry3_CHF3-7sccm Pressure,,
Dry3_CHF3-7sccm_All_Data,STARTTIME,InitialVpp.InitialVpp,STARTTIME,1/1/2019,1/1/2100,-,800,900,1300,1400,-,InitialVpp,Dry3_CHF3-7sccm InitialVpp,,
Dry3_CHF3-7sccm_All_Data,STARTTIME,FinalVpp.FinalVpp,STARTTIME,1/1/2019,1/1/2100,-,800,900,1300,1400,-,FinalVpp,Dry3_CHF3-7sccm FinalVpp,,
Dry4_All_Data,STARTTIME,APCPress.APCPress,STARTTIME,1/1/2019,1/1/2100,-,4.97,4.98,5.02,5.03,-,APCPress,Dry4 APCPress,,
Dry4_All_Data,STARTTIME,APCPressPosition.APCPressPosition,STARTTIME,1/1/2019,1/1/2100,-,9.65,9.7,10.49,10.54,-,APCPressPosition,Dry4 APCPressPosition,,
Dry4_All_Data,STARTTIME,CF4-O2Flow.CF4-O2Flow,STARTTIME,1/1/2019,1/1/2100,-,3.97,3.98,4.02,4.03,-,CF4-O2Flow,Dry4 CF4-O2Flow,,
Dry4_All_Data,STARTTIME,O2Flow.O2Flow,STARTTIME,1/1/2019,1/1/2100,-,59.72,59.74,59.8,59.82,-,O2Flow,Dry4 O2Flow,,
Dry4_All_Data,STARTTIME,BiasPf.BiasPf,STARTTIME,1/1/2019,1/1/2100,-,64.97,64.98,65.02,65.03,-,BiasPf,Dry4 BiasPf,,
Dry4_All_Data,STARTTIME,BiasPr.BiasPr,STARTTIME,1/1/2019,1/1/2100,-,,,1.05,1.35,-,BiasPr,Dry4 BiasPr,,
Dry4_All_Data,STARTTIME,BiasVpp.BiasVpp,STARTTIME,1/1/2019,1/1/2100,-,330,335,375,380,-,BiasVpp,Dry4 BiasVpp,,
Dry5_All_Data,STARTTIME,BiasMNC-loadPosition.BiasMNC-loadPosition,STARTTIME,1/1/2019,1/1/2100,-,53.8,58.1,74.9,79.2,-,BiasMNC-loadPosition,Dry5 BiasMNC-loadPosition,,
Dry5_All_Data,STARTTIME,BiasMNC-tunePosition.BiasMNC-tunePosition,STARTTIME,1/1/2019,1/1/2100,-,28,30,37.6,39.6,-,BiasMNC-tunePosition,Dry5 BiasMNC-tunePosition,,
Dry5_All_Data,STARTTIME,BiasDCProveVoltage.BiasDCProveVoltage,STARTTIME,1/1/2019,1/1/2100,-,538.6,551.6,595.6,608.6,-,BiasDCProveVoltage,Dry5 BiasDCProveVoltage,,
Dry5_All_Data,STARTTIME,ProcessPressure.ProcessPressure,STARTTIME,1/1/2019,1/1/2100,-,49.1,49.6,50.6,51.1,-,ProcessPressure,Dry5 ProcessPressure,,
Dry5_All_Data,STARTTIME,BiasRFPower.BiasRFPower,STARTTIME,1/1/2019,1/1/2100,-,247.8,248.8,250.8,251.8,-,BiasRFPower,Dry5 BiasRFPower,,
Dry5_All_Data,STARTTIME,H2Flow.H2Flow,STARTTIME,1/1/2019,1/1/2100,-,69,69.5,70.5,71,-,H2Flow,Dry5 H2Flow,,
Dry5_All_Data,STARTTIME,O2Flow.O2Flow,STARTTIME,1/1/2019,1/1/2100,-,1.65,1.675,1.725,1.75,-,O2Flow,Dry5 O2Flow,,
Dry5_All_Data,STARTTIME,CH4Flow.CH4Flow,STARTTIME,1/1/2019,1/1/2100,-,29,29.5,30.5,31,-,CH4Flow,Dry5 CH4Flow,,
Dry5_All_Data,STARTTIME,BiasReflectedPower.BiasReflectedPower,STARTTIME,1/1/2019,1/1/2100,-,,,2.8,3.7,-,BiasReflectedPower,Dry5 BiasReflectedPower,,
Dry5_All_Data,STARTTIME,PendulumPosition.PendulumPosition,STARTTIME,1/1/2019,1/1/2100,-,8,9,11,12,-,PendulumPosition,Dry5 PendulumPosition,,
Dry5_All_Data,STARTTIME,ChillerTemp.ChillerTemp,STARTTIME,1/1/2019,1/1/2100,-,29,29.4,30.6,31,-,ChillerTemp,Dry5 ChillerTemp,,
Dry5_All_Data,STARTTIME,WallTemp.WallTemp,STARTTIME,1/1/2019,1/1/2100,-,23,25,35,37,-,WallTemp,Dry5 WallTemp,,
Dry6_C2F6-25sccm_All_Data,STARTTIME,ValvePosition.ValvePosition,STARTTIME,1/1/2019,1/1/2100,-,29,30.5,33.5,35,-,ValvePosition,Dry6_C2F6-25sccm ValvePosition,,
Dry6_C2F6-25sccm_All_Data,STARTTIME,C2F6Flow.C2F6Flow,STARTTIME,1/1/2019,1/1/2100,-,24.4,24.6,25.2,25.4,-,C2F6Flow,Dry6_C2F6-25sccm C2F6Flow,,
Dry6_C2F6-25sccm_All_Data,STARTTIME,RFPower.RFPower,STARTTIME,1/1/2019,1/1/2100,-,98,99,101,102,-,RFPower,Dry6_C2F6-25sccm RFPower,,
Dry6_C2F6-25sccm_All_Data,STARTTIME,Pressure.Pressure,STARTTIME,1/1/2019,1/1/2100,-,5.3,5.6,6.4,6.7,-,Pressure,Dry6_C2F6-25sccm Pressure,,
Dry6_C2F6-25sccm_All_Data,STARTTIME,InitialVpp.InitialVpp,STARTTIME,1/1/2019,1/1/2100,-,675,725,825,875,-,InitialVpp,Dry6_C2F6-25sccm InitialVpp,,
Dry6_C2F6-25sccm_All_Data,STARTTIME,FinalVpp.FinalVpp,STARTTIME,1/1/2019,1/1/2100,-,690,740,840,890,-,FinalVpp,Dry6_C2F6-25sccm FinalVpp,,
Dry6_CHF3-10sccm_All_Data,STARTTIME,ValvePosition.ValvePosition,STARTTIME,1/1/2019,1/1/2100,-,1,1.5,2.5,3,-,ValvePosition,Dry6_CHF3-10sccm ValvePosition,,
Dry6_CHF3-10sccm_All_Data,STARTTIME,CHF3Flow.CHF3Flow,STARTTIME,1/1/2019,1/1/2100,-,9.5,9.7,10.1,10.3,-,CHF3Flow,Dry6_CHF3-10sccm CHF3Flow,,
Dry6_CHF3-10sccm_All_Data,STARTTIME,O2Flow.O2Flow,STARTTIME,1/1/2019,1/1/2100,-,0.4,0.45,0.55,0.6,-,O2Flow,Dry6_CHF3-10sccm O2Flow,,
Dry6_CHF3-10sccm_All_Data,STARTTIME,RFPower.RFPower,STARTTIME,1/1/2019,1/1/2100,-,98,99,101,102,-,RFPower,Dry6_CHF3-10sccm RFPower,,
Dry6_CHF3-10sccm_All_Data,STARTTIME,Pressure.Pressure,STARTTIME,1/1/2019,1/1/2100,-,5.3,5.6,6.4,6.7,-,Pressure,Dry6_CHF3-10sccm Pressure,,
Dry6_CHF3-10sccm_All_Data,STARTTIME,InitialVpp.InitialVpp,STARTTIME,1/1/2019,1/1/2100,-,925,975,1075,1125,-,InitialVpp,Dry6_CHF3-10sccm InitialVpp,,
Dry6_CHF3-10sccm_All_Data,STARTTIME,FinalVpp.FinalVpp,STARTTIME,1/1/2019,1/1/2100,-,925,975,1075,1125,-,FinalVpp,Dry6_CHF3-10sccm FinalVpp,,
Dry6_CHF3-7sccm_All_Data,STARTTIME,ValvePosition.ValvePosition,STARTTIME,1/1/2019,1/1/2100,-,0.8,1.3,2.3,2.8,-,ValvePosition,Dry6_CHF3-7sccm ValvePosition,,
Dry6_CHF3-7sccm_All_Data,STARTTIME,CHF3Flow.CHF3Flow,STARTTIME,1/1/2019,1/1/2100,-,6.5,6.7,7.1,7.3,-,CHF3Flow,Dry6_CHF3-7sccm CHF3Flow,,
Dry6_CHF3-7sccm_All_Data,STARTTIME,O2Flow.O2Flow,STARTTIME,1/1/2019,1/1/2100,-,0.4,0.45,0.55,0.6,-,O2Flow,Dry6_CHF3-7sccm O2Flow,,
Dry6_CHF3-7sccm_All_Data,STARTTIME,RFPower.RFPower,STARTTIME,1/1/2019,1/1/2100,-,98,99,101,102,-,RFPower,Dry6_CHF3-7sccm RFPower,,
Dry6_CHF3-7sccm_All_Data,STARTTIME,Pressure.Pressure,STARTTIME,1/1/2019,1/1/2100,-,5.3,5.6,6.4,6.7,-,Pressure,Dry6_CHF3-7sccm Pressure,,
Dry6_CHF3-7sccm_All_Data,STARTTIME,InitialVpp.InitialVpp,STARTTIME,1/1/2019,1/1/2100,-,925,975,1075,1125,-,InitialVpp,Dry6_CHF3-7sccm InitialVpp,,
Dry6_CHF3-7sccm_All_Data,STARTTIME,FinalVpp.FinalVpp,STARTTIME,1/1/2019,1/1/2100,-,950,1000,1100,1150,-,FinalVpp,Dry6_CHF3-7sccm FinalVpp,,
Dry7_All_Data,STARTTIME,APCPress.APCPress,STARTTIME,1/1/2019,1/1/2100,-,5.06,5.08,5.16,5.18,-,APCPress,Dry7 APCPress,,
Dry7_All_Data,STARTTIME,APCPressPosition.APCPressPosition,STARTTIME,1/1/2019,1/1/2100,-,7.05,7.1,7.89,7.94,-,APCPressPosition,Dry7 APCPressPosition,,
Dry7_All_Data,STARTTIME,CF4Flow.CF4Flow,STARTTIME,1/1/2019,1/1/2100,-,1.6,1.8,3.2,3.4,-,CF4Flow,Dry7 CF4Flow,,
Dry7_All_Data,STARTTIME,O2Flow.O2Flow,STARTTIME,1/1/2019,1/1/2100,-,59.95,59.97,60.03,60.05,-,O2Flow,Dry7 O2Flow,,
Dry7_All_Data,STARTTIME,BiasPf.BiasPf,STARTTIME,1/1/2019,1/1/2100,-,94.97,94.98,95.02,95.03,-,BiasPf,Dry7 BiasPf,,
Dry7_All_Data,STARTTIME,BiasPr.BiasPr,STARTTIME,1/1/2019,1/1/2100,-,,,0.7,1,-,BiasPr,Dry7 BiasPr,,
Dry7_All_Data,STARTTIME,BiasVpp.BiasVpp,STARTTIME,1/1/2019,1/1/2100,-,1120,1140,1260,1280,-,BiasVpp,Dry7 BiasVpp,,
GRATING_EB-LER,STARTTIME,EB-LER.Average,STARTTIME,1/1/2019,1/1/2100,"HL13B4,HL13B5,HTL13B2,HTL13D1",,,,,-,回折格子形成_EB露光_LER_B4B5,回折格子形成_EB露光_LER_B4B5,,
GRATING_EB-LER,STARTTIME,EB-LER.Average,STARTTIME,1/1/2019,1/1/2100,"HL13B7,HL13B8",,,,,-,回折格子形成_EB露光_LER_B7B8,回折格子形成_EB露光_LER_B7B8,,
GRATING_DML-EB-LER,STARTTIME,DML_EB-LER.Average,STARTTIME,1/1/2019,1/1/2100,HL1363,,,,,-,回折格子形成_EB露光_DML_LER_HL1363,回折格子形成_EB露光_DML_LER_HL1363,,
GRATING_DML-EB-LER,STARTTIME,DML_EB-LER.Average,STARTTIME,1/1/2019,1/1/2100,HL13BFCP,,,,,-,回折格子形成_EB露光_DML_LER_HL13BFCP,回折格子形成_EB露光_DML_LER_HL13BFCP,,
GRATING_DML-EB-LER,STARTTIME,DML_EB-LER.Average,STARTTIME,1/1/2019,1/1/2100,-,,,,,-,回折格子形成_EB露光_DML_LER,回折格子形成_EB露光_DML_LER,,
GRATING_EB-PITCH,STARTTIME,EB-PITCH.Average,STARTTIME,1/1/2019,1/1/2100,HL1363,,,,,-,回折格子形成_EB露光_PITCH_HL1363,回折格子形成_EB露光_PITCH_HL1363,,
GRATING_EB-PITCH,STARTTIME,EB-PITCH.Average,STARTTIME,1/1/2019,1/1/2100,HL13BFCP,,,,,-,回折格子形成_EB露光_PITCH_HL13BFCP,回折格子形成_EB露光_PITCH_HL13BFCP,,
GRATING_EB-PITCH,STARTTIME,EB-PITCH.Average,STARTTIME,1/1/2019,1/1/2100,"HL13B4,HL13B5,HTL13B2,HTL13D1",,,,,-,回折格子形成_EB露光_PITCH_B4B5,回折格子形成_EB露光_PITCH_B4B5,,
GRATING_EB-PITCH,STARTTIME,EB-PITCH.Average,STARTTIME,1/1/2019,1/1/2100,"HL13B7,HL13B8",,,,,-,回折格子形成_EB露光_PITCH_B7B8,回折格子形成_EB露光_PITCH_B7B8,,
GRATING_EB-PITCH,STARTTIME,EB-PITCH.Average,STARTTIME,1/1/2019,1/1/2100,-,,,,,-,回折格子形成_EB露光_PITCH,回折格子形成_EB露光_PITCH,,
TEM_Ana_F1LD_B4B5,STARTTIME,InGaAsP115_GR_Ratio.Ratio4,STARTTIME,1/1/2019,1/1/2100,-,0.94,0.97,1.03,1.06,-,F1LD_B4B5_TEM_多層CHK InGaAsP1_15 GR膜厚比率,F1LD_B4B5_TEM_多層CHK InGaAsP1_15 GR膜厚比率,,
TEM_Ana_F1LD_B4B5,STARTTIME,InP_Ratio.Ratio3,STARTTIME,1/1/2019,1/1/2100,-,0.937,0.97,1.03,1.063,-,F1LD_B4B5_TEM_多層CHK InP膜厚比率,F1LD_B4B5_TEM_多層CHK InP膜厚比率,,
TEM_Ana_F1LD_B4B5,STARTTIME,InGaAsP103_upper_SCH_Ratio.Ratio6,STARTTIME,1/1/2019,1/1/2100,-,0.937,0.97,1.03,1.0628,-,F1LD_B4B5_TEM_多層CHK InGaAsP1.03 上SCH膜厚比率,F1LD_B4B5_TEM_多層CHK InGaAsP1.03 上SCH膜厚比率,,
TEM_Ana_F1LD_B4B5,STARTTIME,InGaAsP_under_103_Ratio.Ratio9,STARTTIME,1/1/2019,1/1/2100,-,0.9362,0.97,1.03,1.0628,-,F1LD_B4B5_TEM_多層CHK InGaAsP 下1.03膜厚比率,F1LD_B4B5_TEM_多層CHK InGaAsP 下1.03膜厚比率,,
TEM_Ana_F1LD_B4B5,STARTTIME,InGaAsP_Barrier_Ratio.Ratio7,STARTTIME,1/1/2019,1/1/2100,-,0.9586,0.98,1.02,1.0414,-,F1LD_B4B5_TEM_多層CHK InGaAsP(ﾊﾞﾘｱ)膜厚比率,F1LD_B4B5_TEM_多層CHK InGaAsP(ﾊﾞﾘｱ)膜厚比率,,
TEM_Ana_F1LD_B4B5,STARTTIME,InGaAsP_Well_Ratio.Ratio8,STARTTIME,1/1/2019,1/1/2100,-,0.9586,0.983,1.017,1.0358,-,F1LD_B4B5_TEM_多層CHK InGaAsP(ｳｪﾙ)膜厚比率,F1LD_B4B5_TEM_多層CHK InGaAsP(ｳｪﾙ)膜厚比率,,
TEM_Ana_F1LD_B4B5,STARTTIME,Active_Thickness.Thickness,STARTTIME,1/1/2019,1/1/2100,-,291.1,,,325.3,-,F1LD_B4B5_TEM_多層CHK 活性層膜厚,F1LD_B4B5_TEM_多層CHK 活性層膜厚,,
TEM_Ana_F1LD_B7B8,STARTTIME,InGaAsP115_GR_Ratio.Ratio4,STARTTIME,1/1/2019,1/1/2100,-,0.94,0.97,1.03,1.06,-,F1LD_B7B8_TEM_多層CHK InGaAsP1_15 GR膜厚比率,F1LD_B7B8_TEM_多層CHK InGaAsP1_15 GR膜厚比率,,
TEM_Ana_F1LD_B7B8,STARTTIME,InP_Ratio.Ratio3,STARTTIME,1/1/2019,1/1/2100,-,0.937,0.97,1.03,1.063,-,F1LD_B7B8_TEM_多層CHK InP膜厚比率,F1LD_B7B8_TEM_多層CHK InP膜厚比率,,
TEM_Ana_F1LD_B7B8,STARTTIME,InGaAsP103_upper_SCH_Ratio.Ratio6,STARTTIME,1/1/2019,1/1/2100,-,0.937,0.97,1.03,1.0628,-,F1LD_B7B8_TEM_多層CHK InGaAsP1.03 上SCH膜厚比率,F1LD_B7B8_TEM_多層CHK InGaAsP1.03 上SCH膜厚比率,,
TEM_Ana_F1LD_B7B8,STARTTIME,InGaAsP_under_103_Ratio.Ratio9,STARTTIME,1/1/2019,1/1/2100,-,0.9362,0.97,1.03,1.0628,-,F1LD_B7B8_TEM_多層CHK InGaAsP 下1.03膜厚比率,F1LD_B7B8_TEM_多層CHK InGaAsP 下1.03膜厚比率,,
TEM_Ana_F1LD_B7B8,STARTTIME,InGaAsP_Barrier_Ratio.Ratio7,STARTTIME,1/1/2019,1/1/2100,-,0.9586,0.98,1.02,1.0414,-,F1LD_B7B8_TEM_多層CHK InGaAsP(ﾊﾞﾘｱ)膜厚比率,F1LD_B7B8_TEM_多層CHK InGaAsP(ﾊﾞﾘｱ)膜厚比率,,
TEM_Ana_F1LD_B7B8,STARTTIME,InGaAsP_Well_Ratio.Ratio8,STARTTIME,1/1/2019,1/1/2100,-,0.9586,0.983,1.017,1.0358,-,F1LD_B7B8_TEM_多層CHK InGaAsP(ｳｪﾙ)膜厚比率,F1LD_B7B8_TEM_多層CHK InGaAsP(ｳｪﾙ)膜厚比率,,
TEM_Ana_F1LD_B7B8,STARTTIME,Active_Thickness.Thickness,STARTTIME,1/1/2019,1/1/2100,-,291.1,,,325.3,-,F1LD_B7B8_TEM_多層CHK 活性層膜厚,F1LD_B7B8_TEM_多層CHK 活性層膜厚,,
TEM_Ana_F2LD_B4B5,STARTTIME,InGaAsP115_GR_Ratio.Ratio4,STARTTIME,1/1/2019,1/1/2100,-,0.94,0.97,1.03,1.06,-,F2LD_B4B5_TEM_多層CHK InGaAsP1_15 GR膜厚比率,F2LD_B4B5_TEM_多層CHK InGaAsP1_15 GR膜厚比率,,
TEM_Ana_F2LD_B4B5,STARTTIME,InP_Ratio.Ratio3,STARTTIME,1/1/2019,1/1/2100,-,0.94,0.97,1.03,1.06,-,F2LD_B4B5_TEM_多層CHK InP膜厚比率,F2LD_B4B5_TEM_多層CHK InP膜厚比率,,
TEM_Ana_F2LD_B4B5,STARTTIME,InGaAsP103_upper_SCH_Ratio.Ratio6,STARTTIME,1/1/2019,1/1/2100,-,0.94,0.97,1.03,1.06,-,F2LD_B4B5_TEM_多層CHK InGaAsP1.03 上SCH膜厚比率,F2LD_B4B5_TEM_多層CHK InGaAsP1.03 上SCH膜厚比率,,
TEM_Ana_F2LD_B4B5,STARTTIME,InGaAsP_under_103_Ratio.Ratio9,STARTTIME,1/1/2019,1/1/2100,-,0.94,0.97,1.03,1.06,-,F2LD_B4B5_TEM_多層CHK InGaAsP 下1.03膜厚比率,F2LD_B4B5_TEM_多層CHK InGaAsP 下1.03膜厚比率,,
TEM_Ana_F2LD_B4B5,STARTTIME,InGaAsP_Barrier_Ratio.Ratio7,STARTTIME,1/1/2019,1/1/2100,-,0.96,0.98,1.02,1.04,-,F2LD_B4B5_TEM_多層CHK InGaAsP(ﾊﾞﾘｱ)膜厚比率,F2LD_B4B5_TEM_多層CHK InGaAsP(ﾊﾞﾘｱ)膜厚比率,,
TEM_Ana_F2LD_B4B5,STARTTIME,InGaAsP_Well_Ratio.Ratio8,STARTTIME,1/1/2019,1/1/2100,-,0.966,0.983,1.017,1.034,-,F2LD_B4B5_TEM_多層CHK InGaAsP(ｳｪﾙ)膜厚比率,F2LD_B4B5_TEM_多層CHK InGaAsP(ｳｪﾙ)膜厚比率,,
TEM_Ana_F2LD_B4B5,STARTTIME,Active_Thickness.Thickness,STARTTIME,1/1/2019,1/1/2100,-,303.1,,,337.4,-,F2LD_B4B5_TEM_多層CHK 活性層膜厚,F2LD_B4B5_TEM_多層CHK 活性層膜厚,,
TEM_Ana_F6LD_B4B5,STARTTIME,InGaAsP115_GR_Ratio.Ratio4,STARTTIME,1/1/2019,1/1/2100,-,0.94,0.97,1.03,1.06,-,F6LD_B4B5_TEM_多層CHK InGaAsP1_15 GR膜厚比率,F6LD_B4B5_TEM_多層CHK InGaAsP1_15 GR膜厚比率,,
TEM_Ana_F6LD_B4B5,STARTTIME,InP_Ratio.Ratio3,STARTTIME,1/1/2019,1/1/2100,-,0.94,0.97,1.03,1.06,-,F6LD_B4B5_TEM_多層CHK InP膜厚比率,F6LD_B4B5_TEM_多層CHK InP膜厚比率,,
TEM_Ana_F6LD_B4B5,STARTTIME,InGaAsP103_upper_SCH_Ratio.Ratio6,STARTTIME,1/1/2019,1/1/2100,-,0.94,0.97,1.03,1.06,-,F6LD_B4B5_TEM_多層CHK InGaAsP1.03 上SCH膜厚比率,F6LD_B4B5_TEM_多層CHK InGaAsP1.03 上SCH膜厚比率,,
TEM_Ana_F6LD_B4B5,STARTTIME,InGaAsP_under_103_Ratio.Ratio9,STARTTIME,1/1/2019,1/1/2100,-,0.94,0.97,1.03,1.06,-,F6LD_B4B5_TEM_多層CHK InGaAsP 下1.03膜厚比率,F6LD_B4B5_TEM_多層CHK InGaAsP 下1.03膜厚比率,,
TEM_Ana_F6LD_B4B5,STARTTIME,InGaAsP_Barrier_Ratio.Ratio7,STARTTIME,1/1/2019,1/1/2100,-,0.96,0.98,1.02,1.04,-,F6LD_B4B5_TEM_多層CHK InGaAsP(ﾊﾞﾘｱ)膜厚比率,F6LD_B4B5_TEM_多層CHK InGaAsP(ﾊﾞﾘｱ)膜厚比率,,
TEM_Ana_F6LD_B4B5,STARTTIME,InGaAsP_Well_Ratio.Ratio8,STARTTIME,1/1/2019,1/1/2100,-,0.966,0.983,1.017,1.034,-,F6LD_B4B5_TEM_多層CHK InGaAsP(ｳｪﾙ)膜厚比率,F6LD_B4B5_TEM_多層CHK InGaAsP(ｳｪﾙ)膜厚比率,,
TEM_Ana_F6LD_B4B5,STARTTIME,Active_Thickness.Thickness,STARTTIME,1/1/2019,1/1/2100,-,291.1,,,325.3,-,F6LD_B4B5_TEM_多層CHK 活性層膜厚,F6LD_B4B5_TEM_多層CHK 活性層膜厚,,
